T	<m>	d<m>
2.260	-0.481	0.115
2.260	-0.552	0.087
2.260	0.548	0.104
2.260	-0.680	0.121
2.260	-0.637	0.112
2.260	0.456	0.095
2.260	0.109	0.081
2.260	0.637	0.123
2.260	0.654	0.099
2.260	-0.542	0.115
2.260	0.315	0.103
2.260	0.695	0.093
2.260	0.615	0.120
2.260	0.482	0.103
2.260	-0.635	0.111
2.260	-0.626	0.105
2.260	-0.627	0.110
2.260	-0.392	0.124
2.260	0.629	0.109
2.260	-0.585	0.105
2.260	0.597	0.117
2.260	-0.504	0.110
2.260	0.561	0.125
2.260	0.596	0.109
2.260	-0.363	0.102
2.260	0.683	0.099
2.260	0.543	0.100
2.260	0.468	0.125
2.260	0.652	0.102
2.260	0.595	0.105
2.260	-0.457	0.088
2.260	-0.012	0.077
2.260	-0.662	0.098
2.260	-0.184	0.098
2.260	0.382	0.106
2.260	-0.576	0.090
2.260	-0.718	0.095
2.260	-0.566	0.119
2.260	-0.229	0.081
2.260	-0.156	0.076
2.260	0.482	0.108
2.260	0.406	0.104
2.260	-0.684	0.081
2.260	0.417	0.101
2.260	0.393	0.087
2.260	0.660	0.093
2.260	0.696	0.101
2.260	0.302	0.106
2.260	0.631	0.102
2.260	-0.530	0.099
2.260	0.668	0.106
2.260	0.637	0.099
2.260	-0.464	0.100
2.260	0.487	0.104
2.260	-0.081	0.070
2.260	0.156	0.073
2.260	0.543	0.122
2.260	-0.701	0.105
2.260	-0.140	0.079
2.260	-0.649	0.118
2.260	0.508	0.090
2.260	-0.583	0.118
2.260	0.585	0.110
2.260	-0.656	0.089
2.260	0.576	0.122
2.260	0.686	0.102
2.260	-0.369	0.108
2.260	0.651	0.110
2.260	0.686	0.090
2.260	-0.544	0.092
2.260	0.202	0.094
2.260	-0.671	0.095
2.260	0.549	0.093
2.260	-0.705	0.103
2.260	0.748	0.088
2.260	-0.138	0.117
2.260	0.681	0.103
2.260	-0.235	0.077
2.260	-0.704	0.089
2.260	-0.281	0.108
2.260	0.540	0.110
2.260	-0.609	0.097
2.260	-0.694	0.098
2.260	-0.617	0.113
2.260	0.391	0.097
2.260	-0.354	0.101
2.260	-0.709	0.087
2.260	-0.478	0.107
2.260	-0.566	0.098
2.260	-0.525	0.107
2.260	0.526	0.094
2.260	0.596	0.120
2.260	0.554	0.106
2.260	-0.572	0.122
2.260	0.606	0.128
2.260	-0.692	0.100
2.260	-0.686	0.109
2.260	0.590	0.121
2.260	-0.737	0.088
2.260	0.524	0.116
2.260	0.531	0.118
2.260	-0.602	0.113
2.260	0.581	0.095
2.260	0.710	0.099
2.260	-0.740	0.102
2.260	-0.680	0.103
2.260	-0.605	0.104
2.260	-0.649	0.096
2.260	0.679	0.104
2.260	-0.689	0.096
2.260	-0.680	0.095
2.260	0.381	0.101
2.260	0.665	0.092
2.260	0.574	0.102
2.260	0.484	0.090
2.260	-0.705	0.103
2.260	0.567	0.115
2.260	0.521	0.114
2.260	0.458	0.103
2.260	0.722	0.096
2.260	0.706	0.099
2.260	0.307	0.083
2.260	0.640	0.108
2.260	-0.514	0.110
2.260	0.112	0.069
2.260	-0.392	0.115
2.260	-0.556	0.108
2.260	-0.656	0.105
2.260	0.608	0.127
2.260	0.659	0.107
2.260	0.710	0.098
2.260	-0.613	0.112
2.260	0.695	0.103
2.260	0.081	0.104
2.260	0.382	0.109
2.260	-0.488	0.096
2.260	-0.505	0.125
2.260	0.739	0.093
2.260	-0.520	0.096
2.260	0.029	0.113
2.260	0.562	0.096
2.260	-0.540	0.110
2.260	0.690	0.100
2.260	-0.647	0.099
2.260	0.682	0.094
2.260	-0.667	0.110
2.260	-0.689	0.099
2.260	-0.349	0.113
2.260	0.646	0.113
2.260	-0.495	0.095
2.260	0.370	0.115
2.260	-0.663	0.098
2.260	0.620	0.110
2.260	-0.433	0.103
2.260	-0.719	0.106
2.260	0.336	0.111
2.260	-0.691	0.099
2.260	-0.238	0.128
2.260	-0.549	0.114
2.260	-0.634	0.100
2.260	-0.577	0.104
2.260	0.606	0.118
2.260	-0.286	0.084
2.260	0.650	0.095
2.260	0.414	0.107
2.260	-0.587	0.102
2.260	-0.717	0.094
2.260	-0.665	0.105
2.260	0.535	0.100
2.260	-0.464	0.119
2.260	0.565	0.115
2.260	-0.677	0.095
2.260	-0.562	0.111
2.260	-0.410	0.117
2.260	-0.606	0.093
2.260	0.011	0.096
2.260	0.592	0.122
2.260	-0.155	0.117
2.260	0.340	0.104
2.260	0.264	0.103
2.260	0.181	0.120
2.260	0.614	0.106
2.260	-0.675	0.109
2.260	0.644	0.092
2.260	0.521	0.110
2.260	-0.367	0.100
2.260	0.594	0.105
2.260	-0.198	0.115
2.260	-0.671	0.101
2.260	-0.646	0.113
2.260	0.513	0.124
2.260	-0.347	0.103
2.260	-0.739	0.103
2.260	0.186	0.071
2.260	-0.599	0.100
2.260	0.645	0.102
2.260	0.586	0.122
2.260	0.641	0.101
2.260	0.672	0.100
2.260	-0.585	0.113
2.260	-0.455	0.107
2.260	0.542	0.105
2.260	-0.537	0.126
2.260	0.712	0.093
2.260	0.493	0.104
2.260	0.583	0.101
2.260	0.521	0.112
2.260	0.661	0.107
2.260	0.521	0.102
2.260	0.570	0.096
2.260	0.426	0.115
2.260	0.581	0.081
2.260	0.698	0.096
2.260	0.407	0.093
2.260	-0.658	0.116
2.260	0.565	0.127
2.260	0.721	0.096
2.260	-0.703	0.101
2.260	-0.671	0.100
2.260	0.254	0.091
2.260	-0.569	0.103
2.260	0.685	0.103
2.260	0.577	0.114
2.260	0.607	0.112
2.260	-0.563	0.108
2.260	0.555	0.114
2.260	-0.680	0.097
2.260	-0.512	0.095
2.260	0.662	0.098
2.260	-0.563	0.107
2.260	0.515	0.096
2.260	0.705	0.104
2.260	0.517	0.102
2.260	0.658	0.119
2.260	0.707	0.091
2.260	0.661	0.090
2.260	-0.399	0.109
2.260	-0.611	0.107
2.260	0.587	0.104
2.260	0.636	0.105
2.260	0.633	0.100
2.260	0.611	0.101
2.260	-0.616	0.107
2.260	0.619	0.122
2.260	-0.486	0.106
2.260	-0.681	0.107
2.260	-0.037	0.069
2.260	0.327	0.095
2.260	0.692	0.111
2.260	0.614	0.103
2.260	-0.560	0.120
2.260	0.628	0.110
2.260	-0.621	0.108
2.260	-0.679	0.100
2.260	-0.528	0.106
2.260	0.364	0.103
2.260	0.619	0.109
2.260	-0.418	0.094
2.260	-0.608	0.103
2.260	-0.467	0.098
2.260	0.700	0.106
2.260	-0.594	0.118
2.260	-0.585	0.113
2.260	-0.408	0.071
2.260	-0.581	0.111
2.260	-0.473	0.087
2.260	0.576	0.116
2.260	-0.555	0.096
2.260	-0.550	0.109
2.260	0.710	0.101
2.260	0.624	0.104
2.260	-0.460	0.091
2.260	-0.455	0.101
2.260	0.346	0.095
2.260	0.618	0.112
2.260	0.298	0.082
2.260	-0.406	0.102
2.260	0.367	0.101
2.260	-0.721	0.101
2.260	0.710	0.096
2.260	0.566	0.095
2.260	0.597	0.101
2.260	-0.477	0.093
2.260	0.026	0.070
2.260	-0.658	0.105
2.260	-0.723	0.099
2.260	-0.643	0.102
2.260	-0.331	0.085
2.260	0.678	0.101
2.260	-0.658	0.105
2.260	-0.637	0.114
2.260	-0.542	0.105
2.260	-0.712	0.096
2.260	0.624	0.103
2.260	0.726	0.109
2.260	-0.447	0.091
2.260	-0.629	0.123
2.260	0.700	0.104
2.260	-0.401	0.092
2.260	-0.615	0.100
2.260	0.551	0.096
2.260	-0.444	0.115
2.260	-0.675	0.103
2.260	-0.687	0.097
2.260	-0.413	0.108
2.260	-0.450	0.118
2.260	0.579	0.103
2.260	0.618	0.100
2.260	-0.512	0.116
2.260	0.558	0.115
2.260	0.582	0.108
2.260	-0.697	0.106
2.260	0.632	0.108
2.260	-0.493	0.104
2.260	-0.564	0.101
2.260	-0.598	0.118
2.260	0.427	0.086
2.260	-0.667	0.108
2.260	-0.664	0.101
2.260	0.671	0.102
2.260	0.625	0.112
2.260	0.157	0.091
2.260	-0.605	0.105
2.260	0.634	0.103
2.260	-0.372	0.092
2.260	-0.536	0.105
2.260	0.422	0.095
2.260	0.578	0.107
2.260	0.624	0.099
2.260	0.610	0.108
2.260	0.708	0.113
2.260	-0.605	0.118
2.260	0.524	0.105
2.260	-0.526	0.114
2.260	0.649	0.101
2.260	0.518	0.112
2.260	0.498	0.107
2.260	-0.415	0.085
2.260	-0.353	0.114
2.260	-0.516	0.108
2.260	-0.478	0.113
2.260	-0.671	0.104
2.260	0.686	0.105
2.260	0.628	0.101
2.260	-0.702	0.107
2.260	-0.597	0.106
2.260	0.665	0.095
2.260	-0.626	0.104
2.260	0.303	0.088
2.260	0.701	0.096
2.260	0.505	0.106
2.260	0.628	0.105
2.260	0.473	0.109
2.260	0.718	0.105
2.260	-0.524	0.118
2.260	-0.559	0.107
2.260	-0.503	0.101
2.260	-0.483	0.101
2.260	-0.774	0.089
2.260	0.202	0.100
2.260	0.587	0.116
2.260	-0.555	0.099
2.260	0.501	0.121
2.260	0.711	0.089
2.260	0.681	0.103
2.260	-0.203	0.090
2.260	0.486	0.114
2.260	-0.608	0.114
2.260	0.674	0.109
2.260	-0.553	0.111
2.260	-0.676	0.082
2.260	-0.530	0.102
2.260	-0.505	0.114
2.260	0.659	0.111
2.260	-0.468	0.100
2.260	-0.509	0.126
2.260	-0.552	0.110
2.260	-0.584	0.103
2.260	-0.648	0.089
2.260	-0.427	0.098
2.260	-0.652	0.096
2.260	0.707	0.093
2.260	-0.246	0.097
2.260	0.562	0.112
2.260	-0.550	0.099
2.260	-0.665	0.097
2.260	0.466	0.109
2.260	0.690	0.096
2.260	-0.646	0.099
2.260	-0.341	0.102
2.260	-0.589	0.116
2.260	0.560	0.104
2.260	0.548	0.124
2.260	-0.558	0.127
2.260	0.692	0.091
2.260	-0.560	0.114
2.260	0.685	0.087
2.260	-0.577	0.106
2.260	0.631	0.105
2.260	-0.657	0.112
2.260	0.628	0.101
2.260	-0.581	0.108
2.260	0.678	0.097
2.260	0.609	0.115
2.260	-0.707	0.084
2.260	-0.732	0.100
2.260	0.104	0.100
2.260	0.656	0.097
2.260	-0.573	0.120
2.260	-0.729	0.105
2.260	-0.610	0.116
2.260	0.524	0.121
2.260	0.654	0.115
2.260	-0.688	0.104
2.260	0.680	0.097
2.260	-0.573	0.114
2.260	0.545	0.104
2.260	0.654	0.108
2.260	-0.703	0.095
2.260	0.698	0.090
2.260	0.629	0.126
2.260	0.526	0.106
2.260	-0.526	0.110
2.260	0.693	0.099
2.260	0.667	0.106
2.260	-0.126	0.072
2.260	-0.533	0.103
2.260	-0.689	0.104
2.260	0.584	0.110
2.260	-0.536	0.104
2.260	-0.722	0.094
2.260	0.306	0.098
2.260	0.428	0.115
2.260	-0.596	0.102
2.260	-0.713	0.106
2.260	-0.316	0.074
2.260	0.654	0.096
2.260	-0.480	0.110
2.260	-0.699	0.096
2.260	0.574	0.108
2.260	0.700	0.110
2.260	0.734	0.084
2.260	-0.441	0.106
2.260	-0.686	0.097
2.260	0.688	0.106
2.260	-0.209	0.074
2.260	-0.285	0.093
2.260	-0.639	0.106
2.260	0.378	0.104
2.260	-0.616	0.108
2.260	0.582	0.126
2.260	-0.541	0.102
2.260	0.453	0.107
2.260	-0.706	0.092
2.260	0.652	0.106
2.260	-0.652	0.105
2.260	0.625	0.121
2.260	0.513	0.120
2.260	0.494	0.103
2.260	0.330	0.081
2.260	-0.634	0.116
2.260	-0.637	0.094
2.260	0.663	0.107
2.260	-0.441	0.111
2.260	-0.629	0.098
2.260	-0.662	0.103
2.260	-0.362	0.111
2.260	-0.586	0.108
2.260	0.688	0.115
2.260	-0.643	0.103
2.260	0.670	0.116
2.260	-0.523	0.093
2.260	-0.476	0.111
2.260	0.559	0.099
2.260	-0.698	0.082
2.260	0.718	0.102
2.260	0.598	0.096
2.260	0.545	0.104
2.260	-0.250	0.099
2.260	0.484	0.132
2.260	-0.596	0.117
2.260	0.562	0.112
2.260	-0.693	0.102
2.260	0.482	0.115
2.260	-0.536	0.125
2.260	-0.565	0.113
2.260	-0.219	0.070
2.260	-0.338	0.095
2.260	-0.482	0.121
2.260	-0.697	0.092
2.260	-0.267	0.099
2.260	-0.479	0.099
2.260	0.710	0.091
2.260	-0.459	0.118
2.260	-0.642	0.114
2.260	-0.582	0.110
2.260	0.378	0.101
2.260	0.595	0.111
2.260	-0.750	0.084
2.260	-0.605	0.112
2.260	-0.698	0.095
2.260	-0.196	0.090
2.260	-0.674	0.106
2.260	0.334	0.091
2.260	-0.366	0.091
2.260	0.609	0.098
2.260	-0.566	0.118
2.260	-0.643	0.105
2.260	0.562	0.099
2.260	-0.716	0.112
2.260	0.472	0.094
2.260	-0.659	0.107
2.260	-0.698	0.107
2.260	0.694	0.114
2.260	-0.644	0.105
2.260	0.362	0.102
2.260	0.595	0.107
2.260	0.723	0.094
2.260	0.682	0.092
2.260	-0.216	0.097
2.260	0.540	0.122
2.260	-0.516	0.095
2.260	0.526	0.115
2.260	0.097	0.097
2.260	0.335	0.094
2.260	-0.654	0.102
2.260	-0.629	0.108
2.260	0.599	0.099
2.260	-0.467	0.108
2.260	-0.664	0.101
2.260	0.639	0.107
2.260	0.628	0.100
2.260	-0.631	0.102
2.260	-0.723	0.107
2.260	-0.557	0.107
2.260	0.270	0.112
2.260	-0.678	0.109
2.260	-0.585	0.111
2.260	0.664	0.107
2.260	0.707	0.096
2.260	-0.648	0.115
2.260	0.603	0.108
2.260	0.664	0.107
2.260	0.543	0.109
2.260	-0.583	0.110
2.260	-0.508	0.099
2.260	-0.688	0.093
2.260	0.546	0.104
2.260	-0.365	0.092
2.260	0.729	0.101
2.260	0.390	0.124
2.260	-0.707	0.096
2.260	-0.460	0.111
2.260	-0.500	0.097
2.260	0.616	0.104
2.260	-0.577	0.116
2.260	-0.557	0.121
2.260	0.663	0.102
2.260	0.608	0.099
2.260	0.624	0.109
2.260	-0.019	0.080
2.260	0.464	0.117
2.260	0.482	0.106
2.260	-0.618	0.115
2.260	-0.657	0.101
2.260	-0.682	0.103
2.260	-0.511	0.115
2.260	-0.672	0.109
2.260	0.722	0.103
2.260	0.513	0.109
2.260	0.512	0.094
2.260	0.679	0.110
2.260	-0.676	0.087
2.260	-0.678	0.107
2.260	-0.577	0.102
2.260	-0.645	0.108
2.260	-0.282	0.107
2.260	0.488	0.108
2.260	-0.545	0.114
2.260	0.700	0.083
2.260	0.514	0.103
2.260	-0.664	0.110
2.260	-0.693	0.095
2.260	0.698	0.103
2.260	-0.681	0.100
2.260	0.709	0.103
2.260	0.512	0.089
2.260	-0.689	0.096
2.260	-0.585	0.108
2.260	0.595	0.107
2.260	0.577	0.119
2.260	0.615	0.093
2.260	-0.118	0.087
2.260	-0.712	0.087
2.260	0.699	0.096
2.260	-0.648	0.087
2.260	-0.611	0.096
2.260	0.645	0.102
2.260	0.089	0.109
2.260	-0.438	0.099
2.260	0.609	0.097
2.260	-0.648	0.105
2.260	0.715	0.101
2.260	0.631	0.105
2.260	0.722	0.097
2.260	0.607	0.079
2.260	0.747	0.095
2.260	-0.688	0.106
2.260	0.486	0.092
2.260	0.164	0.106
2.260	0.359	0.113
2.260	-0.500	0.115
2.260	0.451	0.094
2.260	0.704	0.097
2.260	0.323	0.107
2.260	-0.670	0.103
2.260	0.520	0.098
2.260	0.430	0.106
2.260	-0.653	0.110
2.260	0.680	0.107
2.260	0.488	0.103
2.260	0.542	0.094
2.260	0.642	0.094
2.260	-0.277	0.081
2.260	-0.673	0.105
2.260	0.305	0.133
2.260	-0.625	0.107
2.260	-0.638	0.110
2.260	0.584	0.110
2.260	-0.635	0.112
2.260	-0.627	0.102
2.260	0.683	0.108
2.260	0.520	0.095
2.260	0.636	0.107
2.260	-0.708	0.090
2.260	-0.664	0.093
2.260	-0.629	0.102
2.260	-0.565	0.101
2.260	-0.684	0.101
2.260	-0.373	0.114
2.260	0.741	0.090
2.260	0.724	0.093
2.260	0.421	0.093
2.260	0.236	0.125
2.260	0.673	0.107
2.260	-0.543	0.118
2.260	-0.425	0.092
2.260	-0.673	0.098
2.260	0.596	0.104
2.260	-0.301	0.081
2.260	0.318	0.113
2.260	-0.550	0.118
2.260	0.620	0.106
2.260	-0.012	0.098
2.260	-0.255	0.107
2.260	-0.622	0.111
2.260	-0.561	0.107
2.260	0.461	0.097
2.260	-0.616	0.090
2.260	0.491	0.120
2.260	0.251	0.080
2.260	0.599	0.118
2.260	0.508	0.107
2.260	0.631	0.109
2.260	0.641	0.108
2.260	0.539	0.114
2.260	0.718	0.100
2.260	0.541	0.119
2.260	0.710	0.088
2.260	0.702	0.102
2.260	0.730	0.114
2.260	-0.600	0.110
2.260	-0.544	0.101
2.260	-0.590	0.120
2.260	0.649	0.109
2.260	0.294	0.088
2.260	0.508	0.122
2.260	0.651	0.125
2.260	0.657	0.113
2.260	0.609	0.111
2.260	-0.556	0.111
2.260	0.618	0.093
2.260	-0.085	0.099
2.260	0.642	0.103
2.260	0.609	0.101
2.260	-0.100	0.092
2.260	-0.249	0.099
2.260	-0.545	0.121
2.260	0.593	0.107
2.260	-0.543	0.105
2.260	0.242	0.099
2.260	0.615	0.116
2.260	-0.361	0.102
2.260	0.132	0.098
2.260	-0.532	0.117
2.260	0.688	0.096
2.260	0.662	0.104
2.260	-0.376	0.078
2.260	-0.317	0.111
2.260	0.488	0.103
2.260	0.363	0.091
2.260	0.367	0.129
2.260	-0.664	0.098
2.260	-0.651	0.093
2.260	-0.485	0.104
2.260	0.665	0.108
2.260	-0.663	0.101
2.260	0.614	0.107
2.260	0.458	0.117
2.260	0.496	0.113
2.260	-0.586	0.103
2.260	-0.216	0.094
2.260	-0.627	0.102
2.260	-0.664	0.108
2.260	-0.713	0.102
2.260	-0.642	0.101
2.260	0.420	0.110
2.260	-0.589	0.109
2.260	0.336	0.096
2.260	0.680	0.113
2.260	-0.545	0.089
2.260	0.251	0.100
2.260	0.341	0.108
2.260	0.087	0.116
2.260	-0.391	0.119
2.260	-0.658	0.114
2.260	0.683	0.107
2.260	0.666	0.109
2.260	0.612	0.122
2.260	-0.427	0.111
2.260	-0.630	0.099
2.260	0.620	0.096
2.260	0.597	0.116
2.260	-0.648	0.110
2.260	0.614	0.101
2.260	0.690	0.113
2.260	-0.685	0.096
2.260	0.116	0.063
2.260	0.663	0.112
2.260	0.027	0.089
2.260	0.486	0.107
2.260	0.653	0.093
2.260	-0.639	0.113
2.260	0.212	0.109
2.260	0.634	0.117
2.260	0.559	0.115
2.260	0.631	0.101
2.260	0.557	0.115
2.260	0.298	0.118
2.260	-0.503	0.113
2.260	0.265	0.096
2.260	-0.658	0.095
2.260	-0.082	0.094
2.260	-0.679	0.101
2.260	0.698	0.112
2.260	-0.079	0.085
2.260	0.666	0.105
2.260	-0.565	0.111
2.260	-0.539	0.091
2.260	-0.600	0.102
2.260	0.376	0.112
2.260	0.632	0.104
2.260	0.604	0.101
2.260	0.464	0.114
2.260	-0.246	0.095
2.260	0.610	0.113
2.260	-0.428	0.112
2.260	0.656	0.100
2.260	0.493	0.084
2.260	0.612	0.092
2.260	-0.721	0.089
2.260	0.601	0.093
2.260	0.532	0.090
2.260	0.631	0.111
2.260	-0.536	0.099
2.260	-0.480	0.097
2.260	0.358	0.118
2.260	0.665	0.109
2.260	-0.648	0.102
2.260	0.670	0.100
2.260	-0.604	0.106
2.260	-0.704	0.102
2.260	0.592	0.099
2.260	-0.667	0.098
2.260	0.587	0.110
2.260	-0.476	0.105
2.260	-0.661	0.121
2.260	-0.030	0.063
2.260	-0.603	0.103
2.260	-0.554	0.095
2.260	-0.668	0.103
2.260	0.681	0.103
2.260	-0.523	0.131
2.260	0.506	0.104
2.260	0.538	0.098
2.260	-0.644	0.114
2.260	-0.479	0.102
2.260	-0.545	0.100
2.260	0.594	0.096
2.260	-0.026	0.111
2.260	-0.646	0.110
2.260	-0.618	0.103
2.260	-0.452	0.099
2.260	0.489	0.097
2.260	0.497	0.107
2.260	0.607	0.111
2.260	0.385	0.104
2.260	-0.583	0.102
2.260	-0.406	0.110
2.260	0.552	0.110
2.260	-0.584	0.117
2.260	0.651	0.113
2.260	0.329	0.097
2.260	0.697	0.110
2.260	-0.538	0.113
2.260	-0.569	0.097
2.260	-0.235	0.096
2.260	0.427	0.090
2.260	-0.618	0.100
2.260	0.583	0.112
2.260	-0.603	0.108
2.260	0.705	0.107
2.260	-0.620	0.114
2.260	-0.736	0.090
2.260	0.626	0.093
2.260	0.609	0.104
2.260	0.678	0.099
2.260	0.299	0.095
2.260	0.191	0.112
2.260	-0.060	0.107
2.260	-0.678	0.098
2.260	0.613	0.093
2.260	-0.147	0.074
2.260	-0.614	0.109
2.260	-0.351	0.094
2.260	0.567	0.140
2.260	-0.532	0.109
2.260	0.236	0.079
2.260	0.637	0.083
2.260	0.640	0.116
2.260	-0.551	0.112
2.260	-0.203	0.095
2.260	0.444	0.123
2.260	0.649	0.091
2.260	0.575	0.095
2.260	-0.280	0.088
2.260	0.694	0.094
2.260	-0.441	0.098
2.260	0.285	0.093
2.260	0.527	0.102
2.260	0.675	0.101
2.260	0.426	0.121
2.260	0.008	0.087
2.260	0.439	0.097
2.260	-0.676	0.101
2.260	0.362	0.103
2.260	0.603	0.098
2.260	0.712	0.090
2.260	-0.209	0.104
2.260	-0.485	0.088
2.260	-0.686	0.096
2.260	0.660	0.108
2.260	0.589	0.114
2.260	-0.608	0.106
2.260	0.574	0.110
2.260	-0.599	0.112
2.260	0.363	0.105
2.260	-0.690	0.103
2.260	0.582	0.093
2.260	-0.189	0.102
2.260	0.022	0.072
2.260	0.670	0.088
2.260	-0.706	0.098
2.260	-0.603	0.094
2.260	0.372	0.109
2.260	0.463	0.096
2.260	-0.688	0.100
2.260	0.059	0.090
2.260	0.720	0.101
2.260	0.668	0.096
2.260	-0.525	0.125
2.260	0.633	0.118
2.260	0.633	0.111
2.260	-0.690	0.094
2.260	-0.650	0.093
2.260	-0.558	0.094
2.260	-0.680	0.099
2.260	-0.058	0.090
2.260	0.619	0.102
2.260	-0.646	0.109
2.260	-0.022	0.108
2.260	0.025	0.079
2.260	-0.590	0.114
2.260	0.740	0.089
2.260	-0.629	0.110
2.260	-0.336	0.121
2.260	0.652	0.112
2.260	0.672	0.092
2.260	0.575	0.106
2.260	0.644	0.092
2.260	-0.664	0.099
2.260	-0.222	0.080
2.260	-0.673	0.120
2.260	0.660	0.105
2.260	-0.706	0.086
2.260	-0.689	0.103
