T	<m>	d<m>
2.260	-0.672	0.107
2.260	0.450	0.105
2.260	-0.608	0.110
2.260	-0.701	0.097
2.260	-0.652	0.103
2.260	0.499	0.112
2.260	0.621	0.107
2.260	0.553	0.123
2.260	0.623	0.107
2.260	-0.666	0.104
2.260	0.629	0.096
2.260	-0.701	0.096
2.260	-0.346	0.108
2.260	0.669	0.106
2.260	-0.554	0.099
2.260	0.422	0.105
2.260	0.625	0.104
2.260	-0.571	0.107
2.260	-0.714	0.093
2.260	-0.615	0.108
2.260	-0.713	0.098
2.260	-0.583	0.118
2.260	0.481	0.097
2.260	-0.549	0.090
2.260	0.689	0.110
2.260	0.517	0.105
2.260	-0.578	0.098
2.260	-0.580	0.126
2.260	0.688	0.098
2.260	-0.702	0.101
2.260	-0.338	0.091
2.260	0.255	0.113
2.260	0.521	0.110
2.260	-0.370	0.099
2.260	-0.669	0.098
2.260	0.555	0.104
2.260	0.444	0.117
2.260	0.669	0.110
2.260	-0.717	0.100
2.260	0.086	0.106
2.260	-0.682	0.115
2.260	0.718	0.090
2.260	0.543	0.089
2.260	0.529	0.108
2.260	0.594	0.082
2.260	0.580	0.108
2.260	0.569	0.108
2.260	0.631	0.106
2.260	-0.676	0.106
2.260	-0.127	0.077
2.260	0.347	0.080
2.260	0.628	0.115
2.260	0.426	0.086
2.260	0.503	0.101
2.260	-0.598	0.122
2.260	0.697	0.106
2.260	-0.694	0.087
2.260	0.603	0.110
2.260	0.663	0.093
2.260	0.717	0.097
2.260	-0.711	0.087
2.260	0.588	0.120
2.260	-0.616	0.088
2.260	-0.501	0.106
2.260	0.703	0.088
2.260	0.550	0.114
2.260	0.581	0.108
2.260	0.203	0.107
2.260	0.468	0.098
2.260	0.399	0.105
2.260	-0.577	0.125
2.260	0.559	0.108
2.260	-0.634	0.093
2.260	0.621	0.105
2.260	0.701	0.104
2.260	0.651	0.108
2.260	0.458	0.107
2.260	0.636	0.100
2.260	0.496	0.122
2.260	-0.468	0.115
2.260	0.558	0.121
2.260	-0.568	0.120
2.260	-0.676	0.104
2.260	-0.613	0.107
2.260	0.587	0.106
2.260	0.641	0.101
2.260	-0.655	0.104
2.260	-0.555	0.102
2.260	-0.636	0.099
2.260	-0.617	0.119
2.260	0.274	0.108
2.260	0.682	0.094
2.260	-0.680	0.104
2.260	0.547	0.108
2.260	0.413	0.102
2.260	0.220	0.098
2.260	-0.674	0.101
2.260	0.618	0.112
2.260	0.092	0.101
2.260	-0.628	0.122
2.260	0.682	0.103
2.260	-0.544	0.105
2.260	0.701	0.093
2.260	0.586	0.110
2.260	-0.428	0.097
2.260	0.599	0.096
2.260	0.301	0.078
2.260	-0.448	0.124
2.260	0.699	0.094
2.260	-0.651	0.099
2.260	-0.564	0.093
2.260	-0.628	0.107
2.260	-0.713	0.109
2.260	-0.223	0.104
2.260	0.456	0.109
2.260	0.253	0.084
2.260	0.560	0.104
2.260	-0.377	0.112
2.260	-0.365	0.095
2.260	0.678	0.112
2.260	0.592	0.112
2.260	-0.654	0.090
2.260	0.379	0.101
2.260	0.668	0.092
2.260	-0.639	0.098
2.260	0.600	0.099
2.260	-0.538	0.092
2.260	0.644	0.096
2.260	0.576	0.108
2.260	0.490	0.115
2.260	0.410	0.113
2.260	-0.446	0.114
2.260	-0.537	0.111
2.260	0.700	0.104
2.260	-0.430	0.102
2.260	-0.584	0.108
2.260	-0.278	0.084
2.260	-0.617	0.113
2.260	0.501	0.084
2.260	0.332	0.119
2.260	-0.493	0.128
2.260	0.630	0.102
2.260	-0.494	0.123
2.260	0.320	0.114
2.260	0.609	0.104
2.260	-0.630	0.100
2.260	-0.669	0.105
2.260	-0.379	0.119
2.260	-0.693	0.099
2.260	0.184	0.073
2.260	-0.481	0.095
2.260	0.700	0.105
2.260	-0.595	0.114
2.260	0.642	0.101
2.260	-0.630	0.087
2.260	0.643	0.103
2.260	-0.669	0.100
2.260	0.065	0.085
2.260	0.495	0.116
2.260	-0.394	0.085
2.260	0.734	0.110
2.260	0.545	0.109
2.260	0.083	0.076
2.260	-0.239	0.096
2.260	-0.515	0.108
2.260	0.444	0.097
2.260	0.707	0.087
2.260	0.713	0.096
2.260	-0.369	0.118
2.260	0.276	0.087
2.260	0.728	0.092
2.260	-0.116	0.086
2.260	-0.458	0.092
2.260	-0.512	0.109
2.260	-0.672	0.102
2.260	-0.443	0.099
2.260	0.419	0.111
2.260	0.479	0.119
2.260	-0.265	0.115
2.260	-0.681	0.097
2.260	-0.529	0.097
2.260	-0.615	0.110
2.260	-0.404	0.071
2.260	-0.597	0.111
2.260	-0.599	0.110
2.260	0.640	0.109
2.260	-0.606	0.088
2.260	0.422	0.091
2.260	0.610	0.104
2.260	-0.646	0.108
2.260	-0.139	0.096
2.260	0.654	0.111
2.260	-0.561	0.106
2.260	-0.672	0.115
