T	<e>	d<e>
2.260	-1.467	0.112
2.260	-1.404	0.108
2.260	-1.429	0.106
2.260	-1.349	0.091
2.260	-1.443	0.099
2.260	-1.395	0.126
2.260	-1.414	0.112
2.260	-1.416	0.112
2.260	-1.437	0.113
2.260	-1.415	0.123
2.260	-1.418	0.115
2.260	-1.437	0.113
2.260	-1.401	0.099
2.260	-1.409	0.109
2.260	-1.441	0.103
2.260	-1.435	0.113
2.260	-1.438	0.129
2.260	-1.410	0.088
2.260	-1.438	0.099
2.260	-1.428	0.102
2.260	-1.456	0.093
2.260	-1.440	0.102
2.260	-1.413	0.105
2.260	-1.318	0.075
2.260	-1.401	0.099
2.260	-1.382	0.113
2.260	-1.409	0.096
2.260	-1.408	0.091
2.260	-1.414	0.103
2.260	-1.392	0.123
2.260	-1.461	0.094
2.260	-1.430	0.115
2.260	-1.417	0.109
2.260	-1.462	0.101
2.260	-1.390	0.113
2.260	-1.400	0.125
2.260	-1.387	0.092
2.260	-1.436	0.114
2.260	-1.438	0.114
2.260	-1.446	0.097
2.260	-1.346	0.105
2.260	-1.376	0.118
2.260	-1.456	0.096
2.260	-1.361	0.096
2.260	-1.417	0.100
2.260	-1.462	0.109
2.260	-1.466	0.094
2.260	-1.401	0.116
2.260	-1.452	0.092
2.260	-1.440	0.115
2.260	-1.445	0.133
2.260	-1.441	0.104
2.260	-1.443	0.106
2.260	-1.455	0.107
2.260	-1.476	0.097
2.260	-1.298	0.065
2.260	-1.454	0.100
2.260	-1.461	0.096
2.260	-1.383	0.093
2.260	-1.435	0.104
2.260	-1.387	0.103
2.260	-1.441	0.110
2.260	-1.330	0.078
2.260	-1.383	0.103
2.260	-1.391	0.117
2.260	-1.459	0.097
2.260	-1.432	0.090
2.260	-1.411	0.100
2.260	-1.432	0.101
2.260	-1.420	0.105
2.260	-1.381	0.104
2.260	-1.365	0.105
2.260	-1.388	0.111
2.260	-1.451	0.091
2.260	-1.429	0.119
2.260	-1.435	0.093
2.260	-1.435	0.109
2.260	-1.439	0.099
2.260	-1.442	0.097
2.260	-1.446	0.094
2.260	-1.493	0.085
2.260	-1.410	0.105
2.260	-1.455	0.108
2.260	-1.452	0.126
2.260	-1.415	0.110
2.260	-1.412	0.117
2.260	-1.449	0.112
2.260	-1.454	0.099
2.260	-1.397	0.084
2.260	-1.392	0.110
2.260	-1.337	0.101
2.260	-1.403	0.122
2.260	-1.394	0.092
2.260	-1.430	0.107
2.260	-1.372	0.109
2.260	-1.362	0.084
2.260	-1.337	0.113
2.260	-1.329	0.097
2.260	-1.427	0.108
2.260	-1.474	0.088
2.260	-1.367	0.116
2.260	-1.412	0.102
2.260	-1.436	0.109
2.260	-1.409	0.098
2.260	-1.440	0.106
2.260	-1.431	0.117
2.260	-1.411	0.098
2.260	-1.473	0.098
2.260	-1.451	0.106
2.260	-1.403	0.104
2.260	-1.400	0.113
2.260	-1.442	0.100
2.260	-1.362	0.090
2.260	-1.366	0.108
2.260	-1.358	0.105
2.260	-1.451	0.093
2.260	-1.414	0.105
2.260	-1.332	0.093
2.260	-1.452	0.110
2.260	-1.478	0.100
2.260	-1.338	0.090
2.260	-1.436	0.090
2.260	-1.441	0.098
2.260	-1.423	0.102
2.260	-1.434	0.102
2.260	-1.412	0.119
2.260	-1.439	0.098
2.260	-1.371	0.088
2.260	-1.468	0.087
2.260	-1.421	0.108
2.260	-1.367	0.104
2.260	-1.432	0.117
2.260	-1.410	0.098
2.260	-1.376	0.092
2.260	-1.375	0.098
2.260	-1.402	0.103
2.260	-1.385	0.110
2.260	-1.432	0.115
2.260	-1.408	0.124
2.260	-1.449	0.095
2.260	-1.410	0.095
2.260	-1.388	0.095
2.260	-1.417	0.114
2.260	-1.465	0.105
2.260	-1.425	0.099
2.260	-1.441	0.108
2.260	-1.413	0.093
2.260	-1.409	0.105
2.260	-1.343	0.096
2.260	-1.375	0.111
2.260	-1.448	0.095
2.260	-1.453	0.102
2.260	-1.315	0.077
2.260	-1.450	0.095
2.260	-1.377	0.114
2.260	-1.436	0.111
2.260	-1.461	0.105
2.260	-1.374	0.113
2.260	-1.440	0.108
2.260	-1.439	0.108
2.260	-1.407	0.122
2.260	-1.453	0.096
2.260	-1.345	0.091
2.260	-1.357	0.124
2.260	-1.450	0.101
2.260	-1.392	0.096
2.260	-1.446	0.109
2.260	-1.460	0.088
2.260	-1.476	0.103
2.260	-1.436	0.110
2.260	-1.411	0.097
2.260	-1.413	0.132
2.260	-1.361	0.092
2.260	-1.468	0.101
2.260	-1.413	0.101
2.260	-1.408	0.078
2.260	-1.375	0.114
2.260	-1.416	0.106
2.260	-1.393	0.107
2.260	-1.362	0.093
2.260	-1.402	0.102
2.260	-1.335	0.083
2.260	-1.383	0.120
2.260	-1.460	0.105
2.260	-1.395	0.112
2.260	-1.375	0.102
2.260	-1.356	0.103
2.260	-1.380	0.097
2.260	-1.402	0.112
2.260	-1.423	0.112
2.260	-1.454	0.096
2.260	-1.399	0.101
2.260	-1.331	0.079
2.260	-1.417	0.129
2.260	-1.455	0.106
2.260	-1.317	0.075
2.260	-1.367	0.107
2.260	-1.415	0.111
2.260	-1.379	0.090
2.260	-1.372	0.099
2.260	-1.378	0.089
2.260	-1.393	0.090
2.260	-1.337	0.093
2.260	-1.431	0.125
2.260	-1.360	0.100
2.260	-1.410	0.107
2.260	-1.454	0.098
2.260	-1.381	0.115
2.260	-1.409	0.105
2.260	-1.441	0.106
2.260	-1.455	0.101
2.260	-1.432	0.112
2.260	-1.461	0.116
2.260	-1.375	0.105
2.260	-1.407	0.113
2.260	-1.421	0.103
2.260	-1.383	0.117
2.260	-1.413	0.120
2.260	-1.420	0.108
2.260	-1.395	0.119
2.260	-1.427	0.112
2.260	-1.455	0.099
2.260	-1.407	0.127
2.260	-1.431	0.103
2.260	-1.409	0.113
2.260	-1.436	0.099
2.260	-1.431	0.103
2.260	-1.467	0.100
2.260	-1.465	0.101
2.260	-1.356	0.089
2.260	-1.414	0.123
2.260	-1.447	0.105
2.260	-1.471	0.074
2.260	-1.375	0.104
2.260	-1.444	0.117
2.260	-1.444	0.096
2.260	-1.395	0.101
2.260	-1.342	0.089
2.260	-1.416	0.123
2.260	-1.405	0.108
2.260	-1.396	0.110
2.260	-1.448	0.106
2.260	-1.436	0.101
2.260	-1.466	0.100
2.260	-1.418	0.092
2.260	-1.385	0.117
2.260	-1.446	0.096
2.260	-1.437	0.109
2.260	-1.382	0.107
2.260	-1.379	0.107
2.260	-1.380	0.093
2.260	-1.445	0.103
2.260	-1.421	0.110
2.260	-1.433	0.104
2.260	-1.419	0.096
2.260	-1.476	0.089
2.260	-1.466	0.105
2.260	-1.334	0.091
2.260	-1.427	0.100
2.260	-1.320	0.079
2.260	-1.387	0.110
2.260	-1.411	0.108
2.260	-1.419	0.102
2.260	-1.392	0.112
2.260	-1.363	0.101
2.260	-1.443	0.104
2.260	-1.357	0.104
2.260	-1.459	0.102
2.260	-1.453	0.110
2.260	-1.352	0.090
2.260	-1.408	0.088
2.260	-1.409	0.096
2.260	-1.448	0.102
2.260	-1.420	0.102
2.260	-1.417	0.126
2.260	-1.425	0.096
2.260	-1.383	0.092
2.260	-1.387	0.120
2.260	-1.408	0.110
2.260	-1.361	0.102
2.260	-1.433	0.121
2.260	-1.480	0.097
2.260	-1.406	0.112
2.260	-1.332	0.075
2.260	-1.454	0.100
2.260	-1.441	0.111
2.260	-1.353	0.102
2.260	-1.418	0.102
2.260	-1.392	0.094
2.260	-1.362	0.100
2.260	-1.453	0.099
2.260	-1.353	0.104
2.260	-1.403	0.118
2.260	-1.444	0.107
2.260	-1.343	0.080
2.260	-1.435	0.114
2.260	-1.439	0.108
2.260	-1.437	0.102
2.260	-1.374	0.110
2.260	-1.409	0.109
2.260	-1.431	0.105
2.260	-1.466	0.101
2.260	-1.461	0.116
2.260	-1.395	0.101
2.260	-1.361	0.096
2.260	-1.387	0.121
2.260	-1.336	0.094
2.260	-1.364	0.091
2.260	-1.370	0.089
2.260	-1.341	0.082
2.260	-1.469	0.103
2.260	-1.412	0.101
2.260	-1.462	0.099
2.260	-1.372	0.103
2.260	-1.442	0.115
2.260	-1.423	0.112
2.260	-1.321	0.079
2.260	-1.381	0.110
2.260	-1.393	0.105
2.260	-1.451	0.099
2.260	-1.392	0.112
2.260	-1.399	0.105
2.260	-1.394	0.111
2.260	-1.412	0.116
2.260	-1.418	0.098
2.260	-1.371	0.118
2.260	-1.449	0.103
2.260	-1.430	0.088
2.260	-1.387	0.116
2.260	-1.390	0.111
2.260	-1.355	0.115
2.260	-1.447	0.114
2.260	-1.337	0.077
2.260	-1.411	0.100
2.260	-1.399	0.101
2.260	-1.413	0.108
2.260	-1.323	0.093
2.260	-1.424	0.107
2.260	-1.404	0.113
2.260	-1.372	0.105
2.260	-1.415	0.115
2.260	-1.438	0.102
2.260	-1.435	0.106
2.260	-1.386	0.098
2.260	-1.409	0.106
2.260	-1.457	0.097
2.260	-1.468	0.093
2.260	-1.377	0.096
2.260	-1.431	0.108
2.260	-1.440	0.106
2.260	-1.446	0.100
2.260	-1.385	0.110
2.260	-1.408	0.104
2.260	-1.433	0.102
2.260	-1.394	0.106
2.260	-1.397	0.107
2.260	-1.421	0.103
2.260	-1.466	0.098
2.260	-1.386	0.118
2.260	-1.392	0.097
2.260	-1.384	0.116
2.260	-1.476	0.090
2.260	-1.372	0.094
2.260	-1.428	0.105
2.260	-1.391	0.089
2.260	-1.419	0.104
2.260	-1.439	0.121
2.260	-1.384	0.104
2.260	-1.366	0.095
2.260	-1.361	0.114
2.260	-1.432	0.112
2.260	-1.420	0.089
2.260	-1.413	0.097
2.260	-1.432	0.098
2.260	-1.299	0.075
2.260	-1.382	0.097
2.260	-1.408	0.102
2.260	-1.443	0.094
2.260	-1.425	0.108
2.260	-1.418	0.094
2.260	-1.366	0.105
2.260	-1.399	0.114
2.260	-1.465	0.087
2.260	-1.440	0.091
2.260	-1.344	0.081
2.260	-1.392	0.099
2.260	-1.366	0.102
2.260	-1.358	0.094
2.260	-1.421	0.099
2.260	-1.380	0.101
2.260	-1.411	0.095
2.260	-1.426	0.101
2.260	-1.358	0.102
2.260	-1.459	0.090
2.260	-1.466	0.087
2.260	-1.475	0.092
2.260	-1.453	0.107
2.260	-1.437	0.102
2.260	-1.380	0.112
2.260	-1.424	0.102
2.260	-1.330	0.078
2.260	-1.440	0.098
2.260	-1.352	0.084
2.260	-1.434	0.117
2.260	-1.426	0.097
2.260	-1.446	0.097
2.260	-1.382	0.111
2.260	-1.483	0.103
2.260	-1.375	0.115
2.260	-1.404	0.109
2.260	-1.368	0.103
2.260	-1.440	0.093
2.260	-1.432	0.111
2.260	-1.474	0.095
2.260	-1.422	0.112
2.260	-1.409	0.109
2.260	-1.424	0.101
2.260	-1.431	0.098
2.260	-1.406	0.089
2.260	-1.433	0.117
2.260	-1.427	0.100
2.260	-1.418	0.098
2.260	-1.357	0.098
2.260	-1.386	0.104
2.260	-1.387	0.104
2.260	-1.342	0.117
2.260	-1.367	0.109
2.260	-1.465	0.107
2.260	-1.332	0.102
2.260	-1.461	0.096
2.260	-1.313	0.070
2.260	-1.340	0.087
2.260	-1.452	0.110
2.260	-1.441	0.112
2.260	-1.451	0.099
2.260	-1.350	0.082
2.260	-1.401	0.103
2.260	-1.426	0.122
2.260	-1.412	0.113
2.260	-1.427	0.101
2.260	-1.361	0.101
2.260	-1.402	0.097
2.260	-1.442	0.092
2.260	-1.398	0.116
2.260	-1.388	0.104
2.260	-1.403	0.143
2.260	-1.380	0.111
2.260	-1.364	0.110
2.260	-1.381	0.112
2.260	-1.438	0.101
2.260	-1.407	0.113
2.260	-1.408	0.098
2.260	-1.459	0.097
2.260	-1.402	0.116
2.260	-1.347	0.092
2.260	-1.458	0.099
2.260	-1.381	0.133
2.260	-1.460	0.120
2.260	-1.402	0.125
2.260	-1.375	0.118
2.260	-1.458	0.103
2.260	-1.421	0.119
2.260	-1.362	0.112
2.260	-1.411	0.111
2.260	-1.419	0.107
2.260	-1.405	0.126
2.260	-1.430	0.113
2.260	-1.467	0.094
2.260	-1.319	0.088
2.260	-1.409	0.094
2.260	-1.459	0.100
2.260	-1.417	0.090
2.260	-1.409	0.112
2.260	-1.406	0.118
2.260	-1.362	0.095
2.260	-1.380	0.117
2.260	-1.387	0.101
2.260	-1.364	0.092
2.260	-1.402	0.097
2.260	-1.412	0.093
2.260	-1.461	0.085
2.260	-1.478	0.096
2.260	-1.407	0.108
2.260	-1.437	0.096
2.260	-1.394	0.094
2.260	-1.399	0.104
2.260	-1.434	0.089
2.260	-1.446	0.108
2.260	-1.415	0.106
2.260	-1.391	0.108
2.260	-1.427	0.120
2.260	-1.443	0.103
2.260	-1.423	0.100
2.260	-1.435	0.101
2.260	-1.423	0.114
2.260	-1.390	0.106
2.260	-1.341	0.082
2.260	-1.421	0.110
2.260	-1.401	0.108
2.260	-1.413	0.119
2.260	-1.410	0.119
2.260	-1.443	0.090
2.260	-1.418	0.100
2.260	-1.436	0.099
2.260	-1.419	0.101
2.260	-1.476	0.091
2.260	-1.356	0.093
2.260	-1.442	0.101
2.260	-1.409	0.099
2.260	-1.400	0.095
2.260	-1.408	0.091
2.260	-1.414	0.095
2.260	-1.428	0.116
2.260	-1.438	0.100
2.260	-1.439	0.120
2.260	-1.426	0.088
2.260	-1.449	0.095
2.260	-1.427	0.107
2.260	-1.438	0.101
2.260	-1.456	0.106
2.260	-1.485	0.090
2.260	-1.402	0.118
2.260	-1.446	0.101
2.260	-1.416	0.127
2.260	-1.423	0.114
2.260	-1.451	0.095
2.260	-1.380	0.121
2.260	-1.377	0.119
2.260	-1.378	0.104
2.260	-1.435	0.119
2.260	-1.454	0.102
2.260	-1.403	0.102
2.260	-1.437	0.098
2.260	-1.409	0.104
2.260	-1.391	0.099
2.260	-1.444	0.099
2.260	-1.428	0.103
2.260	-1.347	0.098
2.260	-1.446	0.109
2.260	-1.403	0.092
2.260	-1.443	0.118
2.260	-1.330	0.107
2.260	-1.352	0.095
2.260	-1.405	0.097
2.260	-1.333	0.088
2.260	-1.347	0.101
2.260	-1.467	0.096
2.260	-1.403	0.103
2.260	-1.445	0.117
2.260	-1.449	0.108
2.260	-1.466	0.104
2.260	-1.359	0.100
2.260	-1.401	0.119
2.260	-1.457	0.109
2.260	-1.426	0.115
2.260	-1.473	0.101
2.260	-1.449	0.111
2.260	-1.418	0.094
2.260	-1.420	0.103
2.260	-1.386	0.109
2.260	-1.372	0.100
2.260	-1.360	0.100
2.260	-1.453	0.103
2.260	-1.453	0.088
2.260	-1.405	0.104
2.260	-1.441	0.110
2.260	-1.431	0.104
2.260	-1.428	0.117
2.260	-1.448	0.109
2.260	-1.455	0.126
2.260	-1.351	0.104
2.260	-1.493	0.095
2.260	-1.442	0.103
2.260	-1.384	0.102
2.260	-1.434	0.102
2.260	-1.381	0.115
2.260	-1.455	0.099
2.260	-1.447	0.095
2.260	-1.407	0.098
2.260	-1.365	0.101
2.260	-1.437	0.115
2.260	-1.448	0.104
2.260	-1.347	0.103
2.260	-1.404	0.092
2.260	-1.465	0.085
2.260	-1.398	0.114
2.260	-1.407	0.097
2.260	-1.426	0.111
2.260	-1.407	0.130
2.260	-1.420	0.108
2.260	-1.444	0.101
2.260	-1.408	0.119
2.260	-1.347	0.088
2.260	-1.415	0.102
2.260	-1.321	0.081
2.260	-1.401	0.115
2.260	-1.443	0.106
2.260	-1.425	0.122
2.260	-1.405	0.124
2.260	-1.460	0.111
2.260	-1.422	0.104
2.260	-1.444	0.096
2.260	-1.421	0.105
2.260	-1.473	0.100
2.260	-1.339	0.094
2.260	-1.426	0.096
2.260	-1.438	0.111
2.260	-1.420	0.105
2.260	-1.440	0.100
2.260	-1.404	0.116
2.260	-1.375	0.094
2.260	-1.480	0.109
2.260	-1.451	0.101
2.260	-1.406	0.119
2.260	-1.410	0.117
2.260	-1.372	0.116
2.260	-1.356	0.081
2.260	-1.436	0.111
2.260	-1.359	0.098
2.260	-1.384	0.099
2.260	-1.416	0.106
2.260	-1.421	0.096
2.260	-1.439	0.093
2.260	-1.482	0.095
2.260	-1.410	0.110
2.260	-1.360	0.088
2.260	-1.411	0.103
2.260	-1.437	0.106
2.260	-1.457	0.112
2.260	-1.447	0.091
2.260	-1.367	0.118
2.260	-1.362	0.099
2.260	-1.457	0.097
2.260	-1.439	0.102
2.260	-1.410	0.094
2.260	-1.396	0.114
2.260	-1.429	0.081
2.260	-1.425	0.125
2.260	-1.421	0.107
2.260	-1.405	0.117
2.260	-1.433	0.112
2.260	-1.445	0.100
2.260	-1.379	0.114
2.260	-1.440	0.097
2.260	-1.444	0.104
2.260	-1.418	0.117
2.260	-1.436	0.105
2.260	-1.406	0.117
2.260	-1.437	0.102
2.260	-1.429	0.111
2.260	-1.455	0.113
2.260	-1.378	0.092
2.260	-1.434	0.111
2.260	-1.357	0.100
2.260	-1.435	0.115
2.260	-1.407	0.106
2.260	-1.473	0.092
2.260	-1.425	0.100
2.260	-1.449	0.089
2.260	-1.439	0.092
2.260	-1.349	0.090
2.260	-1.460	0.092
2.260	-1.436	0.113
2.260	-1.409	0.099
2.260	-1.333	0.097
2.260	-1.382	0.116
2.260	-1.429	0.105
2.260	-1.405	0.112
2.260	-1.370	0.101
2.260	-1.406	0.097
2.260	-1.421	0.116
2.260	-1.444	0.103
2.260	-1.388	0.092
2.260	-1.435	0.104
2.260	-1.436	0.115
2.260	-1.380	0.091
2.260	-1.423	0.114
2.260	-1.437	0.113
2.260	-1.423	0.115
2.260	-1.335	0.103
2.260	-1.432	0.097
2.260	-1.408	0.094
2.260	-1.450	0.104
2.260	-1.422	0.105
2.260	-1.473	0.109
2.260	-1.365	0.107
2.260	-1.423	0.120
2.260	-1.370	0.097
2.260	-1.310	0.083
2.260	-1.410	0.107
2.260	-1.456	0.098
2.260	-1.441	0.090
2.260	-1.460	0.102
2.260	-1.445	0.087
2.260	-1.345	0.089
2.260	-1.361	0.107
2.260	-1.465	0.109
2.260	-1.465	0.087
2.260	-1.412	0.102
2.260	-1.410	0.087
2.260	-1.340	0.098
2.260	-1.440	0.122
2.260	-1.302	0.069
2.260	-1.437	0.097
2.260	-1.421	0.109
2.260	-1.444	0.113
2.260	-1.349	0.105
2.260	-1.366	0.119
2.260	-1.422	0.103
2.260	-1.393	0.112
2.260	-1.418	0.098
2.260	-1.424	0.111
2.260	-1.440	0.097
2.260	-1.440	0.118
2.260	-1.418	0.110
2.260	-1.489	0.092
2.260	-1.436	0.116
2.260	-1.447	0.095
2.260	-1.412	0.103
2.260	-1.446	0.117
2.260	-1.411	0.113
2.260	-1.484	0.083
2.260	-1.447	0.113
2.260	-1.418	0.109
2.260	-1.447	0.113
2.260	-1.438	0.108
2.260	-1.388	0.090
2.260	-1.419	0.104
2.260	-1.435	0.099
2.260	-1.398	0.092
2.260	-1.445	0.108
2.260	-1.427	0.116
2.260	-1.368	0.114
2.260	-1.388	0.110
2.260	-1.447	0.092
2.260	-1.436	0.099
2.260	-1.359	0.079
2.260	-1.420	0.091
2.260	-1.405	0.097
2.260	-1.454	0.091
2.260	-1.380	0.108
2.260	-1.475	0.110
2.260	-1.462	0.101
2.260	-1.466	0.078
2.260	-1.437	0.102
2.260	-1.421	0.111
2.260	-1.448	0.105
2.260	-1.413	0.100
2.260	-1.408	0.118
2.260	-1.404	0.110
2.260	-1.380	0.096
2.260	-1.412	0.102
2.260	-1.381	0.121
2.260	-1.363	0.096
2.260	-1.409	0.104
2.260	-1.452	0.109
2.260	-1.396	0.114
2.260	-1.355	0.104
2.260	-1.461	0.105
2.260	-1.416	0.104
2.260	-1.379	0.102
2.260	-1.405	0.111
2.260	-1.314	0.077
2.260	-1.342	0.106
2.260	-1.441	0.099
2.260	-1.364	0.109
2.260	-1.448	0.110
2.260	-1.475	0.105
2.260	-1.319	0.077
2.260	-1.383	0.103
2.260	-1.343	0.096
2.260	-1.437	0.101
2.260	-1.447	0.100
2.260	-1.424	0.108
2.260	-1.395	0.089
2.260	-1.329	0.089
2.260	-1.404	0.116
2.260	-1.374	0.092
2.260	-1.365	0.084
2.260	-1.313	0.073
2.260	-1.414	0.091
2.260	-1.420	0.113
2.260	-1.352	0.105
2.260	-1.439	0.110
2.260	-1.402	0.103
2.260	-1.371	0.099
2.260	-1.437	0.106
2.260	-1.443	0.093
2.260	-1.424	0.107
2.260	-1.343	0.086
2.260	-1.459	0.098
2.260	-1.342	0.101
2.260	-1.370	0.110
2.260	-1.417	0.115
2.260	-1.418	0.107
2.260	-1.439	0.098
2.260	-1.469	0.102
2.260	-1.412	0.109
2.260	-1.401	0.096
2.260	-1.339	0.083
2.260	-1.432	0.089
2.260	-1.439	0.105
2.260	-1.408	0.109
2.260	-1.447	0.106
2.260	-1.419	0.115
2.260	-1.401	0.112
2.260	-1.425	0.086
2.260	-1.389	0.097
2.260	-1.400	0.094
2.260	-1.425	0.108
2.260	-1.341	0.091
2.260	-1.400	0.114
2.260	-1.424	0.107
2.260	-1.389	0.108
2.260	-1.431	0.098
2.260	-1.332	0.088
2.260	-1.324	0.081
2.260	-1.444	0.103
2.260	-1.458	0.094
2.260	-1.421	0.121
2.260	-1.427	0.101
2.260	-1.439	0.108
2.260	-1.454	0.098
2.260	-1.467	0.098
2.260	-1.410	0.089
2.260	-1.442	0.096
2.260	-1.421	0.091
2.260	-1.437	0.112
2.260	-1.391	0.096
2.260	-1.438	0.113
2.260	-1.444	0.118
2.260	-1.409	0.102
2.260	-1.399	0.105
2.260	-1.390	0.122
2.260	-1.416	0.108
2.260	-1.409	0.112
2.260	-1.398	0.118
2.260	-1.446	0.128
2.260	-1.380	0.104
2.260	-1.454	0.089
2.260	-1.435	0.103
2.260	-1.453	0.108
2.260	-1.447	0.111
2.260	-1.441	0.110
2.260	-1.395	0.086
2.260	-1.350	0.117
2.260	-1.437	0.106
2.260	-1.381	0.106
2.260	-1.397	0.106
2.260	-1.418	0.130
2.260	-1.466	0.092
2.260	-1.461	0.104
2.260	-1.420	0.102
2.260	-1.448	0.113
2.260	-1.417	0.112
2.260	-1.433	0.113
2.260	-1.433	0.106
2.260	-1.349	0.108
2.260	-1.463	0.091
2.260	-1.416	0.096
2.260	-1.403	0.107
2.260	-1.452	0.116
2.260	-1.462	0.113
2.260	-1.392	0.114
2.260	-1.374	0.118
2.260	-1.411	0.094
2.260	-1.445	0.108
2.260	-1.385	0.091
2.260	-1.431	0.126
2.260	-1.323	0.072
2.260	-1.376	0.098
2.260	-1.375	0.118
2.260	-1.420	0.100
2.260	-1.467	0.103
2.260	-1.400	0.095
2.260	-1.431	0.126
2.260	-1.446	0.097
2.260	-1.408	0.104
2.260	-1.412	0.102
2.260	-1.438	0.093
2.260	-1.443	0.111
2.260	-1.432	0.099
2.260	-1.394	0.102
2.260	-1.347	0.092
2.260	-1.447	0.086
2.260	-1.454	0.102
2.260	-1.477	0.092
2.260	-1.351	0.081
2.260	-1.449	0.095
2.260	-1.421	0.122
2.260	-1.431	0.102
2.260	-1.471	0.107
2.260	-1.449	0.098
2.260	-1.450	0.103
2.260	-1.448	0.121
2.260	-1.445	0.095
2.260	-1.416	0.105
2.260	-1.422	0.108
2.260	-1.433	0.098
2.260	-1.457	0.098
2.260	-1.384	0.102
2.260	-1.362	0.104
2.260	-1.396	0.112
2.260	-1.435	0.116
2.260	-1.406	0.114
2.260	-1.426	0.119
2.260	-1.426	0.095
2.260	-1.426	0.102
2.260	-1.390	0.117
2.260	-1.426	0.097
2.260	-1.432	0.103
2.260	-1.329	0.104
2.260	-1.360	0.099
2.260	-1.407	0.107
2.260	-1.405	0.107
2.260	-1.402	0.115
2.260	-1.394	0.094
2.260	-1.387	0.130
2.260	-1.401	0.122
2.260	-1.376	0.111
2.260	-1.421	0.093
2.260	-1.479	0.101
2.260	-1.441	0.121
2.260	-1.359	0.088
2.260	-1.413	0.114
2.260	-1.417	0.109
2.260	-1.467	0.095
2.260	-1.340	0.091
2.260	-1.459	0.099
2.260	-1.402	0.099
2.260	-1.358	0.097
2.260	-1.334	0.094
2.260	-1.445	0.101
2.260	-1.312	0.072
2.260	-1.447	0.118
2.260	-1.403	0.115
2.260	-1.448	0.104
2.260	-1.454	0.102
2.260	-1.405	0.118
2.260	-1.425	0.104
2.260	-1.462	0.099
2.260	-1.361	0.131
2.260	-1.458	0.094
2.260	-1.324	0.094
2.260	-1.439	0.097
2.260	-1.420	0.127
2.260	-1.443	0.110
2.260	-1.351	0.086
2.260	-1.459	0.100
2.260	-1.471	0.095
2.260	-1.448	0.096
2.260	-1.426	0.111
2.260	-1.477	0.093
2.260	-1.420	0.098
2.260	-1.435	0.107
2.260	-1.435	0.110
2.260	-1.397	0.130
2.260	-1.473	0.098
2.260	-1.418	0.097
2.260	-1.355	0.085
2.260	-1.373	0.120
2.260	-1.406	0.101
2.260	-1.458	0.101
2.260	-1.373	0.097
2.260	-1.397	0.098
2.260	-1.438	0.107
2.260	-1.421	0.115
2.260	-1.379	0.117
2.260	-1.407	0.116
2.260	-1.390	0.105
2.260	-1.449	0.104
2.260	-1.449	0.116
2.260	-1.372	0.109
2.260	-1.406	0.110
2.260	-1.432	0.107
2.260	-1.440	0.103
2.260	-1.429	0.099
2.260	-1.431	0.113
2.260	-1.430	0.112
2.260	-1.389	0.097
2.260	-1.401	0.090
2.260	-1.385	0.117
2.260	-1.381	0.107
2.260	-1.417	0.110
2.260	-1.323	0.067
2.260	-1.421	0.095
2.260	-1.474	0.099
2.260	-1.425	0.095
2.260	-1.433	0.118
2.260	-1.406	0.102
2.260	-1.384	0.123
2.260	-1.488	0.104
2.260	-1.381	0.099
2.260	-1.402	0.108
2.260	-1.489	0.092
2.260	-1.434	0.105
2.260	-1.438	0.103
2.260	-1.426	0.091
2.260	-1.422	0.106
2.260	-1.398	0.116
2.260	-1.384	0.121
2.260	-1.407	0.116
2.260	-1.394	0.111
2.260	-1.361	0.112
2.260	-1.436	0.110
2.260	-1.360	0.091
2.260	-1.425	0.107
2.260	-1.374	0.111
2.260	-1.341	0.075
2.260	-1.458	0.102
2.260	-1.398	0.107
2.260	-1.413	0.114
2.260	-1.387	0.119
2.260	-1.367	0.110
2.260	-1.396	0.112
2.260	-1.377	0.115
2.260	-1.400	0.112
2.260	-1.433	0.110
2.260	-1.468	0.097
2.260	-1.347	0.104
2.260	-1.378	0.101
2.260	-1.464	0.123
2.260	-1.437	0.096
2.260	-1.453	0.094
2.260	-1.424	0.098
2.260	-1.441	0.099
2.260	-1.443	0.093
2.260	-1.386	0.117
2.260	-1.389	0.096
2.260	-1.453	0.109
2.260	-1.440	0.113
2.260	-1.429	0.109
2.260	-1.403	0.110
2.260	-1.304	0.084
2.260	-1.337	0.100
2.260	-1.426	0.096
2.260	-1.457	0.097
2.260	-1.400	0.121
2.260	-1.420	0.104
2.260	-1.447	0.115
2.260	-1.388	0.086
2.260	-1.440	0.108
2.260	-1.455	0.099
2.260	-1.444	0.111
2.260	-1.381	0.108
2.260	-1.463	0.097
2.260	-1.422	0.116
2.260	-1.456	0.110
2.260	-1.390	0.104
2.260	-1.419	0.099
2.260	-1.403	0.104
2.260	-1.460	0.090
2.260	-1.417	0.111
2.260	-1.367	0.111
2.260	-1.421	0.109
2.260	-1.482	0.098
2.260	-1.401	0.110
2.260	-1.367	0.113
2.260	-1.420	0.103
2.260	-1.435	0.096
2.260	-1.408	0.086
2.260	-1.359	0.102
2.260	-1.393	0.127
2.260	-1.401	0.114
2.260	-1.456	0.097
2.260	-1.431	0.107
2.260	-1.391	0.100
2.260	-1.452	0.112
2.260	-1.367	0.113
2.260	-1.416	0.100
2.260	-1.391	0.100
2.260	-1.421	0.097
2.260	-1.468	0.098
2.260	-1.374	0.116
2.260	-1.429	0.101
2.260	-1.442	0.094
