T	<e>	d<e>
2.260	-1.419	0.107
2.260	-1.463	0.109
2.260	-1.356	0.104
2.260	-1.390	0.109
2.260	-1.337	0.084
2.260	-1.400	0.104
2.260	-1.397	0.112
2.260	-1.345	0.095
2.260	-1.460	0.112
2.260	-1.428	0.112
2.260	-1.437	0.090
2.260	-1.345	0.101
2.260	-1.443	0.092
2.260	-1.422	0.098
2.260	-1.408	0.099
2.260	-1.389	0.092
2.260	-1.440	0.096
2.260	-1.434	0.108
2.260	-1.406	0.115
2.260	-1.404	0.113
2.260	-1.394	0.114
2.260	-1.388	0.111
2.260	-1.439	0.104
2.260	-1.384	0.102
2.260	-1.415	0.108
2.260	-1.318	0.084
2.260	-1.426	0.113
2.260	-1.372	0.084
2.260	-1.352	0.119
2.260	-1.395	0.128
2.260	-1.419	0.102
2.260	-1.408	0.123
2.260	-1.368	0.114
2.260	-1.407	0.104
2.260	-1.426	0.100
2.260	-1.454	0.105
2.260	-1.389	0.119
2.260	-1.458	0.099
2.260	-1.302	0.073
2.260	-1.392	0.095
2.260	-1.459	0.105
2.260	-1.424	0.114
2.260	-1.442	0.101
2.260	-1.413	0.087
2.260	-1.451	0.103
2.260	-1.452	0.100
2.260	-1.333	0.085
2.260	-1.376	0.116
2.260	-1.347	0.085
2.260	-1.476	0.110
2.260	-1.403	0.109
2.260	-1.314	0.076
2.260	-1.342	0.096
2.260	-1.390	0.108
2.260	-1.368	0.097
2.260	-1.460	0.087
2.260	-1.455	0.096
2.260	-1.378	0.118
2.260	-1.344	0.087
2.260	-1.480	0.092
2.260	-1.325	0.086
2.260	-1.364	0.092
2.260	-1.391	0.109
2.260	-1.448	0.102
2.260	-1.397	0.099
2.260	-1.388	0.111
2.260	-1.406	0.119
2.260	-1.344	0.115
2.260	-1.449	0.097
2.260	-1.388	0.097
2.260	-1.426	0.110
2.260	-1.346	0.071
2.260	-1.416	0.111
2.260	-1.412	0.110
2.260	-1.433	0.109
2.260	-1.416	0.088
2.260	-1.365	0.091
2.260	-1.433	0.104
2.260	-1.430	0.108
2.260	-1.318	0.096
2.260	-1.432	0.111
2.260	-1.398	0.106
2.260	-1.448	0.115
2.260	-1.375	0.103
2.260	-1.418	0.103
2.260	-1.448	0.101
2.260	-1.412	0.124
2.260	-1.415	0.105
2.260	-1.451	0.105
2.260	-1.339	0.091
2.260	-1.461	0.109
2.260	-1.379	0.129
2.260	-1.427	0.111
2.260	-1.356	0.106
2.260	-1.352	0.108
2.260	-1.317	0.084
2.260	-1.476	0.102
2.260	-1.344	0.113
2.260	-1.464	0.096
2.260	-1.451	0.100
2.260	-1.343	0.086
2.260	-1.338	0.094
2.260	-1.395	0.116
2.260	-1.414	0.107
2.260	-1.411	0.093
2.260	-1.397	0.107
2.260	-1.427	0.114
2.260	-1.422	0.110
2.260	-1.378	0.122
2.260	-1.372	0.116
2.260	-1.413	0.106
2.260	-1.423	0.103
2.260	-1.415	0.106
2.260	-1.382	0.097
2.260	-1.413	0.107
2.260	-1.455	0.110
2.260	-1.437	0.107
2.260	-1.431	0.090
2.260	-1.456	0.089
2.260	-1.383	0.117
2.260	-1.402	0.108
2.260	-1.401	0.116
2.260	-1.359	0.116
2.260	-1.446	0.098
